,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
anarchists biden,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
angeles trump,,,,,,
angry joe,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
anti american,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
anti american totally,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
anti biden,0.1391216687280505,0.6956083436402525,-0.41736500618415145,0.41736500618415145,-0.41736500618415145,-0.41736500618415145
anti biden comedy,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
anti biden large,0.14142135623730953,0.5656854249492381,-0.4242640687119286,0.5656854249492381,-0.4242640687119286,-0.4242640687119286
anti christ,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
antifa blm,-0.3098386676965934,0.7745966692414834,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.46475800154489
antifa blm catch,,,,,,
antonio alaio,,,,,,
aoc omar,0.28284271247461906,0.7071067811865477,-0.4242640687119286,-0.4242640687119286,-0.4242640687119286,0.28284271247461906
