,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
atm second,,,,,,
atm second ask,,,,,,
atream brian,,,,,,
attack puppy,,,,,,
attention spoil,,,,,,
attention spoil sport,,,,,,
audio file,,,,,,
audio file itme,,,,,,
audio nogla,,,,,,
audio nogla black,,,,,,
aussie play,,,,,,
aussie play believe,,,,,,
aussie weird,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
aussies bro,,,,,,
auto erotic,,,,,,
auto erotic asphyxiation,,,,,,
auto sus,,,,,,
available region,,,,,,
available rewatch,,,,,,
available rewatch later,,,,,,
avenger identity,,,,,,
avenger identity crisis,,,,,,
avenger jake,,,,,,
avenger jake paul,,,,,,
avengers different,,,,,,
avengers different character,,,,,,
avengers team,,,,,,
avengers team read,,,,,,
avoid damn,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0
avoid damn spoiler,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0
aw poor,,,,,,
aw poor del,,,,,,
aw yeah,,,,,,
aw yeah eazy,,,,,,
awak 36,,,,,,
awak 36 hour,,,,,,
awake just,,,,,,
awake just watch,,,,,,
awake lol,,,,,,
aware streamsnipe,,,,,,
aware streamsnipe agree,,,,,,
away 1000,,,,,,
away body,,,,,,
away info,,,,,,
away kill,,,,,,
away kill somebody,,,,,,
away mich,,,,,,
away mich info,,,,,,
away nt,,,,,,
away nt doin,,,,,,
awesome bro,,,,,,
awesome just,,,,,,
awesome just finish,,,,,,
awesome member,,,,,,
awesome member time,,,,,,
awesome stream,,,,,,
awesome stream bro,,,,,,
awesome youtuber,,,,,,
awhile watch,,,,,,
awhile watch stream,,,,,,
awsome reeeeeeeeeeeeeeee,,,,,,
aww cute,,,,,,
aww cute bye,,,,,,
aww doggo,,,,,,
aww phone,,,,,,
aww phone let,,,,,,
aww vye,,,,,,
awww just,,,,,,
awww just join,,,,,,
awww stream,,,,,,
awww stream end,,,,,,
awww wear,,,,,,
awww wear sark,,,,,,
awwwww hello,,,,,,
awwwww hello pupper,,,,,,
ay hes,,,,,,
ay hes learning,,,,,,
ay yo,,,,,,
ay yo miss,,,,,,
aye wasssssssssup,,,,,,
aye wasssssssssup love,,,,,,
ayee good,,,,,,
ayeeee love,,,,,,
ayeeee love irish,,,,,,
ayo brian,,,,,,
ayo brian twerkkkkkk,,,,,,
ayy shclagenhauff,,,,,,
