,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
biden oh just,0.0,0.704,0.704,0.704,0.704,0.704
biden orange,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
biden orange suit,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
biden president,0.0,0.704,0.704,0.704,0.704,0.704
biden president hide,0.0,0.704,0.704,0.704,0.704,0.704
biden pretender,0.704,0.704,0.704,0.0,0.704,0.704
biden pretender elect,0.704,0.704,0.704,0.0,0.704,0.704
biden ready,0.704,0.704,0.704,0.0,0.704,0.704
biden ready pay,0.704,0.704,0.704,0.0,0.704,0.704
biden real,,,,,,
biden real american,,,,,,
biden saviour,,,,,,
biden say,,,,,,
biden say serve,,,,,,
biden sell,0.704,0.704,0.704,0.0,0.704,0.704
biden senator,,,,,,
biden senator mark,,,,,,
biden sleep,0.0,0.704,0.704,0.704,0.704,0.704
biden sleep walk,0.0,0.704,0.704,0.704,0.704,0.704
biden smart,0.704,0.0,0.704,0.704,0.704,0.704
biden sniff,0.0,0.704,0.704,0.704,0.704,0.704
biden sniff child,0.0,0.704,0.704,0.704,0.704,0.704
biden spend,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden spend day,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden suck,,,,,,
biden supporter,0.0,0.704,0.704,0.704,0.704,0.704
biden supporter live,0.0,0.704,0.704,0.704,0.704,0.704
biden supporter mad,,,,,,
biden thanksgiving,,,,,,
biden thanksgiving read,,,,,,
biden time,0.704,0.704,0.704,0.0,0.704,0.704
biden time america,,,,,,
biden time real,,,,,,
biden tinpot,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
biden tinpot manchurian,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
biden transition,,,,,,
biden transition team,,,,,,
biden trump,,,,,,
biden trump president,,,,,,
biden trump voter,,,,,,
biden turkey,0.0,0.704,0.704,0.704,0.704,0.704
biden turkey gon,0.0,0.704,0.704,0.704,0.704,0.704
biden undue,,,,,,
biden undue relief,,,,,,
biden voter,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
biden voter crush,0.704,0.704,0.704,0.0,0.704,0.704
biden voter hate,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden voters,0.704,0.704,0.704,0.0,0.704,0.704
biden war,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
biden war people,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
biden win,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
biden win bigly,,,,,,
biden win dothefive,,,,,,
biden win finally,,,,,,
biden win proof,,,,,,
biden win trump,,,,,,
biden win win,0.704,0.704,0.704,0.0,0.704,0.704
biden wins,,,,,,
biden won,0.704,0.704,0.704,0.0,0.704,0.704
biden won illuminati,0.704,0.704,0.704,0.0,0.704,0.704
biden wreck,0.704,0.704,0.704,0.0,0.704,0.704
biden wreck usa,0.704,0.704,0.704,0.0,0.704,0.704
biden year,,,,,,
bidens corn,,,,,,
bidens corn pop,,,,,,
big guy,0.704,0.704,0.704,0.0,0.704,0.704
big hoax,,,,,,
big irregularity,0.704,0.704,0.704,0.0,0.704,0.704
big irregularity elections,0.704,0.704,0.704,0.0,0.704,0.704
big legally,,,,,,
big legally hunter,,,,,,
big loser,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848
big trump,,,,,,
big trump turn,,,,,,
big turkey,,,,,,
bind thousand,,,,,,
bind thousand az,,,,,,
bird drool,0.0,0.704,0.704,0.704,0.704,0.704
bizimi söyluyorlar,,,,,,
black latino,,,,,,
black latino asian,,,,,,
blame gov,0.704,0.0,0.704,0.704,0.704,0.704
blame gov china,0.704,0.0,0.704,0.704,0.704,0.704
blame vote,0.704,0.704,0.704,0.0,0.704,0.704
blame vote trump,0.704,0.704,0.704,0.0,0.704,0.704
bles usa,,,,,,
bless america,,,,,,
bless america hate,,,,,,
bless america president,,,,,,
bless america trump,,,,,,
bless american,,,,,,
bless donald,,,,,,
bless donald trump,,,,,,
bless family,,,,,,
bless family mr,,,,,,
bless lovely,,,,,,
bless lovely people,,,,,,
bless mr,,,,,,
bless mr president,,,,,,
bless nation,,,,,,
bless nation let,,,,,,
bless president,,,,,,
bless president biden,,,,,,
bless president elect,,,,,,
bless president trump,,,,,,
bless thank,,,,,,
bless thank pardon,,,,,,
bless usa,,,,,,
bless year,,,,,,
bless year trump,,,,,,
blm biden,0.704,0.704,0.704,0.0,0.704,0.704
blm biden laptop,0.704,0.704,0.704,0.0,0.704,0.704
blm rule,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
blm rule street,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
block deception,,,,,,
block deception deceiver,,,,,,
blow away,,,,,,
blow away supreme,,,,,,
blow wide,,,,,,
blow wide open,,,,,,
blue state,0.704,0.704,0.704,0.0,0.704,0.704
blue state try,0.704,0.704,0.704,0.0,0.704,0.704
blue wave,,,,,,
blue wave lmao,,,,,,
blue wave lose,,,,,,
blueeeeeeeeeeeee come,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
blueeeeeeeeeeeee come record,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
body choice,,,,,,
bone spur,,,,,,
bone spurs,,,,,,
bone spurs hide,,,,,,
bonjour il,,,,,,
bonjour il ce,,,,,,
boogaloo brother,0.704,0.704,0.704,0.0,0.704,0.704
boogaloo brother actually,0.704,0.704,0.704,0.0,0.704,0.704
book work,0.704,0.704,0.704,0.0,0.704,0.704
book work year,0.704,0.704,0.704,0.0,0.704,0.704
booooooooo piece,,,,,,
booooooooo piece crap,,,,,,
borchardtreal im,0.704,0.704,0.704,0.0,0.704,0.704
borchardtreal im iowa,0.704,0.704,0.704,0.0,0.704,0.704
boss prez,0.704,0.704,0.704,0.0,0.704,0.704
boss prez help,0.704,0.704,0.704,0.0,0.704,0.704
boycott georgia,,,,,,
boycott georgia runoff,,,,,,
brace yourselve,0.704,0.704,0.704,0.704,0.704,0.0
brace yourselve ostrich,0.704,0.704,0.704,0.704,0.704,0.0
brain old,0.0,0.704,0.704,0.704,0.704,0.704
brain old man,0.0,0.704,0.704,0.704,0.704,0.704
brain question,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
brake davis,,,,,,
brake davis yes,,,,,,
bratty teen,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
bratty teen girl,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
brazil rock,,,,,,
brazil rock wwg1wga,,,,,,
brazil trump,,,,,,
brazil trump giant,,,,,,
break leg,,,,,,
break leg literally,,,,,,
break news,0.704,0.704,0.704,0.0,0.704,0.704
break time,,,,,,
break time record,,,,,,
breath rip,,,,,,
breath rip biden,,,,,,
bring country,,,,,,
bring country venezula,,,,,,
bring dow,,,,,,
bring dow jones,,,,,,
broadcast arizona,,,,,,
broadcast arizona hearing,,,,,,
broadcast fox,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
broadcast fox fake,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
brother actually,0.704,0.704,0.704,0.0,0.704,0.704
brother actually start,0.704,0.704,0.704,0.0,0.704,0.704
bryant gislaine,0.0,0.704,0.704,0.704,0.704,0.704
bryant gislaine probably,0.0,0.704,0.704,0.704,0.704,0.704
buck fiden,0.704,0.704,0.704,0.704,0.704,0.0
buckle enjoy,,,,,,
budget bidens,,,,,,
build building,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
build cage,,,,,,
build cage jo,,,,,,
building cell,0.704,0.704,0.704,0.0,0.704,0.704
buisness let,0.704,0.704,0.704,0.0,0.704,0.704
buisness let china,0.704,0.704,0.704,0.0,0.704,0.704
bully dicrtators,0.0,0.704,0.704,0.704,0.704,0.704
bully dicrtators lose,0.0,0.704,0.704,0.704,0.704,0.704
bumper sticker,0.704,0.704,0.704,0.0,0.704,0.704
bumper sticker later,0.704,0.704,0.704,0.0,0.704,0.704
bunch paper,0.0,0.704,0.704,0.704,0.704,0.704
bush clinton,0.704,0.704,0.704,0.0,0.704,0.704
bush clinton obama,0.704,0.704,0.704,0.0,0.704,0.704
business turkey,,,,,,
buy pay,0.0,0.704,0.704,0.704,0.704,0.704
buzz electoral,,,,,,
buzz electoral college,,,,,,
