,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
america communist,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
america country,,,,,,
america country stake,,,,,,
america cut,,,,,,
america cut rightwing,,,,,,
america donald,,,,,,
america donald trump,,,,,,
america family,,,,,,
america family face,,,,,,
america forever,,,,,,
america free,,,,,,
america god,,,,,,
america god bles,,,,,,
america god bless,,,,,,
america great,,,,,,
america great _rsbnusa2,,,,,,
america great trump,,,,,,
america greatest,,,,,,
america islamic,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133
america islamic terrorism,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133
america land,,,,,,
america land free,,,,,,
america let,,,,,,
america love,,,,,,
america love president,,,,,,
america make,,,,,,
america mexican,,,,,,
america need,,,,,,
america people,,,,,,
america pray,,,,,,
america pray president,,,,,,
america president,0.704,0.704,0.704,0.0,0.704,0.704
america president trump,0.704,0.704,0.704,0.0,0.704,0.704
america red,,,,,,
america right,,,,,,
america right thing,,,,,,
america servant,,,,,,
america servant pres,,,,,,
america socialism,,,,,,
america socialism country,,,,,,
america strong,,,,,,
america thank,,,,,,
america thanksdoc,,,,,,
america thanksdoc thanksdoc,,,,,,
america theory,,,,,,
america theory thatâ,,,,,,
america trump,0.704,0.704,0.704,0.0,0.704,0.704
america trump 2020,0.704,0.704,0.704,0.0,0.704,0.704
america trump pence,,,,,,
america vote,0.8019087881019875,0.15020042233101136,0.27796339331848685,0.43385766067017734,0.27796339331848685,0.8019087881019875
america vote biden,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.7892821792064089
america vote red,,,,,,
america vote trump,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
america wake,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
america wake france,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
america want,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848
america win,,,,,,
america wins,,,,,,
america world,,,,,,
america year,,,,,,
america âœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœš,,,,,,
america ðÿ,,,,,,
america ðÿš,,,,,,
america ðÿš ðÿš,,,,,,
american citizen,,,,,,
american dream,0.704,0.704,0.704,0.0,0.704,0.704
american dream biden,0.704,0.704,0.704,0.0,0.704,0.704
american great,,,,,,
american hero,,,,,,
american history,,,,,,
american hope,,,,,,
american jobs,,,,,,
american justice,,,,,,
american justice corrupt,,,,,,
american love,,,,,,
american love trump,,,,,,
american patriot,,,,,,
american patriots,,,,,,
american people,0.07048399691021993,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.5501142545045465
american people know,,,,,,
american people love,,,,,,
american people pray,,,,,,
american people trump,,,,,,
american people vote,0.704,0.0,0.704,0.704,0.704,0.704
american revolution,,,,,,
american save,,,,,,
american save world,,,,,,
american say,,,,,,
american totally,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
american totally fake,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
american traitor,0.0,0.704,0.704,0.704,0.704,0.704
american trump,0.704,0.0,0.704,0.704,0.704,0.704
american way,,,,,,
american way life,,,,,,
americans let,,,,,,
americans love,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
americans make,0.704,0.0,0.704,0.704,0.704,0.704
americans make red,0.704,0.0,0.704,0.704,0.704,0.704
americans support,,,,,,
americans trump,,,,,,
americans trump 2020,,,,,,
americans vote,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
americans vote satanist,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.07048399691021993
americans vote trump,,,,,,
americaðÿ ðÿ,0.704,0.0,0.704,0.704,0.704,0.704
americaðÿ ðÿ ðÿ,0.704,0.0,0.704,0.704,0.704,0.704
amirica great,1.0,0.14192744777405547,0.2694125126761958,0.2694125126761958,1.0,0.42631720794036876
amirica great trump,1.0,0.14192744777405547,0.2694125126761958,0.2694125126761958,1.0,0.42631720794036876
amish trump,,,,,,
amy coney,,,,,,
amy coney barrett,,,,,,
amã rica,,,,,,
amã rica prosperity,,,,,,
anarchists biden,0.704,0.704,0.704,0.0,0.704,0.704
angeles trump,,,,,,
angry joe,0.704,0.704,0.704,0.0,0.704,0.704
anti american,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
anti american totally,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
anti biden,0.7926638356375505,0.12487982574290808,0.4103036364236828,0.4103036364236828,0.4103036364236828,0.4103036364236828
anti biden comedy,0.704,0.0,0.704,0.704,0.704,0.704
anti biden large,0.7892821792064089,0.24198153056802077,0.40178766311618047,0.24198153056802077,0.40178766311618047,0.40178766311618047
anti christ,0.704,0.0,0.704,0.704,0.704,0.704
antifa blm,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133
antifa blm catch,,,,,,
antonio alaio,,,,,,
aoc omar,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
aoc omar pressley,0.5870496397870562,0.11611652351681541,0.40178766311618047,0.40178766311618047,0.40178766311618047,0.5870496397870562
apocalypse sheep,,,,,,
apocalypse sheep biden,,,,,,
apparent terror,0.704,0.704,0.704,0.0,0.704,0.704
apparent terror attack,0.704,0.704,0.704,0.0,0.704,0.704
appeal america,,,,,,
appeal america country,,,,,,
appropriately snack,,,,,,
appropriately snack fold,,,,,,
arabs need,,,,,,
arabs need biden,,,,,,
ariana grande,,,,,,
ariana grande weeknd,,,,,,
arizona trump,,,,,,
arkansas trump,,,,,,
arm wrestle,,,,,,
armed chaos,,,,,,
armed chaos country,,,,,,
army vet,,,,,,
arrive plane,,,,,,
artists fracking,0.704,0.704,0.704,0.0,0.704,0.704
artists fracking ðÿ,,,,,,
asian trump,,,,,,
asians trump,,,,,,
ask heal,,,,,,
ask heal rsbnjesus,,,,,,
aspect life,0.704,0.704,0.704,0.0,0.704,0.704
ass cap,,,,,,
