,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
alex alien,,,,,,,,,,,,
alex alien alex,,,,,,,,,,,,
alex appear,,,,,,,,,,,,
alex balck,,,,,,,,,,,,
alex blood,,,,,,,,,,,,
alex bois,,,,,,,,,,,,
alex bring,,,,,,,,,,,,
alex bring antoinette,,,,,,,,,,,,
alex bro,,,,,,,,,,,,
alex bro bros,,,,,,,,,,,,
alex buffering,,,,,,,,,,,,
alex buffering buffering,,,,,,,,,,,,
alex bury,,,,,,,,,,,,
alex bury underneath,,,,,,,,,,,,
alex buy,,,,,,,,,,,,
alex buy burner,,,,,,,,,,,,
alex chat,,,,,,,,,,,,
alex chat boy,,,,,,,,,,,,
alex clean,,,,,,,,,,,,
alex cmon,,,,,,,,,,,,
alex construction,,,,,,,,,,,,
alex construction fund,,,,,,,,,,,,
alex cov19,,,,,,,,,,,,
alex dead,,,,,,,,,,,,
alex decov,,,,,,,,,,,,
alex demon,,,,,,,,,,,,
alex die,,,,,,,,,,,,
alex doc,,,,,,,,,,,,
alex doc invitational,,,,,,,,,,,,
alex doc love,,,,,,,,,,,,
alex doc watch,,,,,,,,,,,,
alex doc worried,,,,,,,,,,,,
alex fault,,,,,,,,,,,,
alex feel,,,,,,,,,,,,
alex feel bad,,,,,,,,,,,,
alex finally,,,,,,,,,,,,
alex finally got,,,,,,,,,,,,
alex fix,,,,,,,,,,,,
alex fix camera,,,,,,,,,,,,
alex forget,,,,,,,,,,,,
alex forget pay,,,,,,,,,,,,
alex giggle,,,,,,,,,,,,
alex got,,,,,,,,,,,,
alex got digitize,,,,,,,,,,,,
alex got kidnap,,,,,,,,,,,,
alex hang,,,,,,,,,,,,
alex hang ethernet,,,,,,,,,,,,
alex hide,,,,,,,,,,,,
alex hide bunker,,,,,,,,,,,,
alex hmmmmm,,,,,,,,,,,,
alex hurry,,,,,,,,,,,,
alex hurry set,,,,,,,,,,,,
alex jid,,,,,,,,,,,,
alex jid body,,,,,,,,,,,,
alex jones,,,,,,,,,,,,
alex jones alien,,,,,,,,,,,,
alex jones second,,,,,,,,,,,,
alex kidnap,,,,,,,,,,,,
